Ord,Optælling
evne,2459
mindretal,780
ilt,525
billedkunst,210
brint,164
tilnærmelsesvis,156
modtræk,108
udleder,103
udadgående,93
sammendrag,89
opdrift,79
ær,75
vestgående,64
udstråling,57
samfundsforhold,57
tidevand,47
fordampe,42
udtryksform,40
modstandskraft,40
iltning,39
brugskunst,32
vir,30
ledningsevne,30
bramfri,26
alhed,25
fortætning,24
mindeskrift,23
retstavning,22
ildsjæl,22
tørning,21
længdeenhed,21
flerhed,21
forsoningslære,19
foretagsom,17
varmtfølende,16
billeddannelse,15
højstemt,13
gasformig,13
omdrejningsakse,12
middelafstand,12
forstørrer,12
hydroelektrisk,11
halvbølge,11
plantegeografi,10
klangbund,10
brændbarhed,10
spændstig,9
ledeevne,9
hæmværk,9
hældningsvinkel,9
hovedakse,9
blandingsforhold,9
bladstilling,9
autoritetstro,9
lodretstående,7
ilte,7
formbarhed,7
termoelektrisk,6
talforhold,6
indleve,6
fortætte,6
uddannelsestrin,5
tilhørerkreds,5
kulbrinte,5
helhedspræg,5
forkulning,5
salting,4
naturånd,4
mængdeforhold,4
limstof,4
keglebjerg,4
hjørnepunkt,4
flussyre,4
beregningsmåde,4
arbejdsmængde,4
åndedrætsorgan,3
uberoende,3
tiltrækningsevne,3
svæv,3
strålning,3
smørsyre,3
selviskhed,3
målforhold,3
lærefag,3
lynafleder,3
vindmåler,2
trykhøjdemåler,2
spændstighed,2
silkehud,2
samværen,2
opfinderånd,2
omkringe,2
meddelsom,2
luftåndende,2
kulsyrefri,2
kalkær,2
jordår,2
indsivning,2
glasskive,2
fugtning,2
franskhed,2
enfold,2
endeplade,2
enakset,2
dansebevægelse,2
bærekraft,2
beviskraft,2
anderledestænkende,2
åndighed,1
åndeflugt,1
vejrbegivenhed,1
tvillingnavn,1
tillidindgydende,1
tidsafstand,1
svovle,1
størkningspunkt,1
stridsfælle,1
skumdannelse,1
rødglødhede,1
religionsparti,1
overgangstilstand,1
omdanning,1
nejsiger,1
nater,1
modtagsomhed,1
massedel,1
lavtryksmaskine,1
langsomtvirkende,1
kunstnydelse,1
knudelinje,1
hurtigtsvingende,1
handlingsgang,1
grænsebestemmelse,1
friktionshjul,1
forplantningsmåde,1
formforandring,1
forklaringsgrund,1
flydevægt,1
efterstræbelsesværdig,1
dybsind,1
dugpunkt,1
betegnelsesmåde,1
belysningsglas,1
begyndelseshastighed,1
arvelære,1
alrum,1
afhængighedsfølelse,1
